n,zone_id,plcb_name,trade_name,outcome,site,evidence
1,king_of_prussia,SCREWBALLS LLC,Screwballs Sports Bar & Grille,site_no_hh,screwballsbarandgrille.com,"Own site; menu is a JPG image. Homepage says ""Check our Facebook page for daily specials"""
2,king_of_prussia,BALD BIRDS BREWING COMPANY,Bald Birds Brewing (KoP),closed,baldbirdsbrewing.com,"KoP taproom closed end of July 2026; PLCB license still Active. Brewery refocused on production"
3,king_of_prussia,CALIFORNIA PIZZA KITCHEN,California Pizza Kitchen,site_no_hh,cpk.com,"Chain location page; /happy-hour returns nothing for this location"
4,conshohocken,"300-E-6, INC.",Coyote Crossing,partial,coyotecrossing.com,"Own /happy-hour page: ""4 PM to 6 PM"" ""Monday through Friday"". No items or prices"
5,wayne_radnor,BKBC INC,Will's + Bill's Brewery & Restaurant,first_party_full,wills-bills.com,"""Tuesday - Sunday 4-6pm"": WB Craft Pints 5 / House Martinis Manhattans & Cosmos 7 / Buck-a-Shuck Oysters 1 each / House Wine 7"
6,wayne_radnor,PIETROS ITALIAN RESTAURANT INC,Pietro's Pizzeria Radnor,first_party_full,pietrospizza.com,"Own site links /files/radnor-happy-hour-menu-07062026.pdf -- dated 2026-07-06, three weeks old"
7,wayne_radnor,THE GOATS BEARD,The Goat's Beard Wayne,third_party_only,thegoatsbeardphilly.com,"No HH on location page or menu page. HH (M-Th 4-6, F 3-6, $5 beers/$6 mixed/$7 wine) only on Yelp/OpenTable"
8,wayne_radnor,"WAYNE TOWN USA, INC.",The Great American Pub Wayne,site_no_hh,thegreatamericanpub.com,"Own /wayne-specials-events page is an events calendar showing ""No Events"" every day of July 2026"
9,ardmore_bryn_mawr,ROACHE & O'BRIEN,Roache & O'Brien,site_no_hh,roacheandobrien.com,"Own site, no happy hour content anywhere"
10,ardmore_bryn_mawr,SANG KEE ASIAN BISTRO INC,Sang Kee Asian Bistro,site_no_hh,sangkeewynnewood.com,"Own site, no specials of any kind"
11,ardmore_bryn_mawr,TIRED HANDS BREWING COMPANY,Tired Hands Fermentaria,first_party_full,tiredhands.com,"""Happy Hour, 4p-6p, Tues-Fri: Half off pints of Alien Church, HopHands, and LUKR tap. $10 Warm Pretzel $16 Wings $12 Cheeseburger..."""
12,norristown_bridgeport,DERO SPIRITS LLC,DeRo Premium Cello,not_a_venue,-,"Limited Distillery. Limoncello producer, tours by appointment. Facebook/Instagram only, no taproom"
13,norristown_bridgeport,FRA-MAR ENTERPRISES LTD,Tony G's Pub and Eatery,partial,tonygspub.com,"Own /specials page: ""Weekend Happy Hour - Late night Menu and Cheap Drinks"" Fri+Sat 10:00 PM-12:00 AM. Named weeknight specials, no HH prices"
14,norristown_bridgeport,AMERICAN SPIRITS EXCHANGE LIMITED,American Spirits Exchange Ltd,not_a_venue,americanspiritsltd.com,"Limited Winery held by a national importer/distributor's back-office. Suite 209 in an office building"
15,phoenixville,THE FROSTED MUG,The Frosted Mug,social_only,-,"Beer bar inside the ACME supermarket at 785 Starr St. ""Happy Hour ALL DAY every Tuesday"" on Instagram. No website"
16,phoenixville,CHIKARA SUSHI & ASIAN FUSION,Chikara Sushi,site_no_hh,chikarapa.com,"Own site, no happy hour content"
17,west_chester,LACEY CORPORATION,Jake's Bar,no_site,-,"1938 cash-only dive. No website; only Yelp/Foursquare/aggregator pages"
18,west_chester,BOLMAR ST,unidentified,not_a_venue,-,"Brewery license at 207 S Bolmar St 1st Fl. No public-facing identity findable under any name"
19,west_chester,BARNABY'S OF WEST CHESTER,Barnaby's West Chester,social_only,barnabyswc.com,"Own site blocks automated fetch (403) and carries no structured HH. HH ($4 drafts/$5 wine/$6 cocktails, weekdays 5-7) posted to Instagram + Facebook"
20,media,IRON HILL BREWERY & RESTAURANT,Iron Hill Brewery Media,first_party_full,ironhillbrewery.com,"Per-location HH page /food-menus/media-pa-happy-hour-menu/: weekdays 4-6pm, $5 fried chicken sandwich, $7.50 cocktails, $2 off pours, $5 brussels, $7 nachos"
21,media,PEKING MEDIA LLC,Peking Media Restaurant,third_party_only,pekingmediapa.com,"Own site has no HH. ""$6 wine"" HH mentioned only in a Yelp review"
22,manayunk,TJ 5892 INC,Murphy's Tavern,no_site,-,"Roxborough tavern est. 1969. No website; $5 pizza Thursdays known only from reviews"
23,manayunk,JAMESTOWN TAVERN LLC,Henry James Saloon,site_no_hh,henryjamessaloonpa.com,"PLCB name is stale -- Jamestown Tavern closed 2025, now Henry James Saloon. Own site has no HH"
24,manayunk,CRESSON-INN,The Cresson Inn,third_party_only,cresson-inn.edan.io,"Only an auto-generated microsite. $3 Early Bird / 2 Dogs & a Pitcher $10 appear only in third-party listings"
25,manayunk,1976 LLC,Scanlon's Saloon,no_site,-,"Est. 1976. No website; Toast ordering page and aggregators only"
26,collegeville_trappe,FITZWATER STATION,Fitzwater Station,site_no_hh,fitzwaterstation.com,"Own site advertises ""Happy Hour specials"" as a feature but publishes none. Has a ""YAPPY HOUR PUPPY MENU"" for dogs"
27,collegeville_trappe,PERKY CAFE,The Perky (Perkiomen Cafe),site_no_hh,theperky.com,"Own menu page, no happy hour or drink specials"
28,blue_bell_plymouth_meeting,WHOLE FOODS MARKET GROUP LLC,Whole Foods Plymouth Meeting rooftop bar,third_party_only,wholefoodsmarket.com,"Real rooftop beer/wine bar with HH (3 tacos $5). Corporate store page carries nothing"
29,blue_bell_plymouth_meeting,THE OLDE BLACK HORSE TAVERN AND MOTEL,The Black Horse Tavern,first_party_full,blackhorsetaverns.com,"""Happy Hour Monday-Friday 4-6pm Saturday and Sunday 2-4pm"" with ""$1.00 off pints during Happy Hour"""
