n,zone_id,name,licensee,address,municipality,license_type,miles_from_kop
1,king_of_prussia,SCREWBALLS LLC,SCREWBALLS LLC,"216 W BEIDLER RD STE 600, KING OF PRUSSIA PA 19406-1708",Upper Merion Twp,Restaurant (Liquor),1.3
2,king_of_prussia,BALD BIRDS BREWING COMPANY,BALD BIRDS BREWING COMPANY LLC,"250 KING MANOR DR STE 300, KING OF PRUSSIA PA 19406",Upper Merion Twp,Brewery,1.3
3,king_of_prussia,CALIFORNIA PIZZA KITCHEN,CALIFORNIA PIZZA KITCHEN INC,"470 MALL BLVD, KING OF PRUSSIA PA 19406-2934",Upper Merion Twp,Restaurant (Liquor),1.3
4,conshohocken,"300-E-6, INC.","300-E-6, INC.","800 SPRINGMILL AVE, CONSHOHOCKEN PA 19428-2314",Conshohocken,Restaurant (Liquor),4.9
5,wayne_radnor,BKBC INC,BKBC INC,"324 W SWEDESFORD RD, BERWYN PA 19312-1165",Tredyffrin Twp,Brewery,4.3
6,wayne_radnor,PIETROS ITALIAN RESTAURANT INC,PIETROS ITALIAN RESTAURANT INC,"236 N RADNOR CHESTER RD, RADNOR PA 19085-5106",Radnor Twp,Restaurant (Liquor),4.3
7,wayne_radnor,THE GOATS BEARD,103 NORTH WAYNE AVENUE ASSOCIATES LLC,"103 N WAYNE AVE, WAYNE PA 19087-3529",Radnor Twp,Restaurant (Liquor),1.9
8,wayne_radnor,"WAYNE TOWN USA, INC.","WAYNE TOWN USA, INC.","4 WEST AVE, WAYNE PA 19087-3316",Radnor Twp,Restaurant (Liquor),1.9
9,ardmore_bryn_mawr,ROACHE & O'BRIEN,"DRC HAVERFORD, LLC","560 W LANCASTER AVE, HAVERFORD PA 19041-1209",Lower Merion Twp,Restaurant (Liquor),7.1
10,ardmore_bryn_mawr,SANG KEE ASIAN BISTRO INC,SANG KEE ASIAN BISTRO INC,"339 E LANCASTER AVE, WYNNEWOOD PA 19096-1920",Lower Merion Twp,Restaurant (Liquor),8.8
11,ardmore_bryn_mawr,TIRED HANDS BREWING COMPANY,TIRED HANDS BREWING COMPANY,"35 CRICKET TERRACE, ARDMORE PA 19003-2244",Lower Merion Twp,Brewery Pub,8.0
12,norristown_bridgeport,DERO SPIRITS LLC,DERO SPIRITS LLC,"411 DEPOT ST, BRIDGEPORT PA 19405",Bridgeport,Limited Distillery,3.1
13,norristown_bridgeport,FRA-MAR ENTERPRISES LTD,FRA-MAR ENTERPRISES LTD,"1991 W MAIN ST, NORRISTOWN PA 19403",West Norriton Twp,Restaurant (Liquor),4.3
14,norristown_bridgeport,AMERICAN SPIRITS EXCHANGE LIMITED,REDEMPTION SPIRITS LLC,"408 E 4TH ST STE 209, BRIDGEPORT PA 19405-1823",Bridgeport,Limited Winery,3.1
15,phoenixville,THE FROSTED MUG,ACME MARKETS INC,"785 STARR ST, PHOENIXVILLE PA 19460",Phoenixville,Restaurant (Liquor),7.4
16,phoenixville,CHIKARA SUSHI & ASIAN FUSION,CHIKARA FUSION JAPANESE RESTAURANT LIMITED LIABILITY COMPANY,"131 BRIDGE ST STE 4, PHOENIXVILLE PA 19460",Phoenixville,Brewery,7.4
17,west_chester,LACEY CORPORATION,LACEY CORPORATION,"549 S MATLACK ST, WEST CHESTER PA 19380-2338",West Chester,Restaurant (Liquor),12.8
18,west_chester,BOLMAR ST,THREAT BEER COMPANY,"207 S BOLMAR ST 1ST FL, WEST CHESTER PA 19382-4931",West Goshen Twp,Brewery,14.3
19,west_chester,BARNABY'S OF WEST CHESTER,JSLL LLC,"7-15 S HIGH ST, WEST CHESTER PA 19382-3224",West Chester,Restaurant (Liquor),14.3
20,media,IRON HILL BREWERY & RESTAURANT,"C & D BREWING COMPANY OF MEDIA, LLC","30-32 E STATE ST, MEDIA PA 19063-2904",Media,Restaurant (Liquor),11.8
21,media,PEKING MEDIA LLC,PEKING MEDIA LLC,"4-6 W STATE ST, MEDIA PA 19063-3311",Media,Restaurant (Liquor),11.8
22,manayunk,TJ 5892 INC,TJ 5892 INC,"5892 HENRY AVE, PHILADELPHIA PA 19128-1704",Philadelphia City,Restaurant (Liquor),9.7
23,manayunk,JAMESTOWN TAVERN LLC,JAMESTOWN TAVERN LLC,"577 E JAMESTOWN ST, PHILADELPHIA PA 19128-1727",Philadelphia City,Restaurant (Liquor),9.7
24,manayunk,CRESSON-INN,"CRESSON-INN BAR & GRILLE, INC.","114 GAY ST, PHILADELPHIA PA 19127-1309",Philadelphia City,Restaurant (Liquor),10.0
25,manayunk,1976 LLC,1976 LLC,"4201 MANAYUNK AVE, PHILADELPHIA PA 19128-5031",Philadelphia City,Restaurant (Liquor),9.7
26,collegeville_trappe,FITZWATER STATION,CANAL FITZWATER INC,"264 CANAL ST RD #1, PHOENIXVILLE PA 19460-1213",Upper Providence Twp,Restaurant (Liquor),7.4
27,collegeville_trappe,PERKY CAFE,JDCF LLC,"400 BROWER AVE, PHOENIXVILLE PA 19460-6122",Upper Providence Twp,Restaurant (Liquor),7.4
28,blue_bell_plymouth_meeting,WHOLE FOODS MARKET GROUP LLC,WHOLE FOODS MARKET GROUP LLC,"PLYMOUTH MEETING MALL 500 W GERMANTOWN PK, PLYMOUTH MEETING PA 19462-1326",Plymouth Twp,Restaurant (Liquor),6.3
29,blue_bell_plymouth_meeting,THE OLDE BLACK HORSE TAVERN AND MOTEL,"MLM, INC.","200 FAIRFIELD RD, PLYMOUTH MEETING PA 19462",Plymouth Twp,Hotel (Liquor),6.3
30,blue_bell_plymouth_meeting,ANDY'S DINER,RIDGE PIKE LIQUOR LLC,"505 W RIDGE PK, CONSHOHOCKEN PA 19428-1224",Plymouth Twp,Restaurant (Liquor),4.9
